datetime,text,cleanTweet
2023-01-03 23:59:52,"b'RT @dr_chaku: Setiap tahun saya akan ulang. \n\nKita tidak perlu restoran atau kedai makan yang jual ""mega portion"". Kenapa?\n\nKerana cenderun\xe2\x80\xa6'",tahun ulang perlu restoran kedai makan jual mega portion
2023-01-03 23:59:44,b'RT @KIMW0NPlL: @starfess Kesabaran youngk seluas alam semesta\n\nhttps://t.co/x4CobFZfJI',sabar youngk luas alam
2023-01-03 23:59:41,"b'RT @yippiekoo: \xe2\x80\x94 jikook few tweets au.\n\nCinta berbeda alam itu memang ada. Dan itu terjadi pada Alinea Hermoine, seorang dokter forensik. D\xe2\x80\xa6'",jikook few tweets beda alam memang jadi alinea hermoine orang dokter forensik
2023-01-03 23:59:39,"b'""Orang yang berilmu berada di kalangan orang bodoh.""\nMematikan hati nurani dan bergerak dalam kesesatan yang menyesatkan. \n\nDosa jariyah ?\nWallahu\'alam.\n\nNaudzubillahi min dzalik. \n\n** https://t.co/4tD25BHVQg'",orang beril ada kalang orang hati nurani gerak sesat sesat jariyah min dzalik
2023-01-03 23:59:21,b'@txtdrstoryWA Alam barzah',alam barzah
2023-01-03 23:59:14,"b'@twtshah_alam Benda ni simple, tak patut pun nak pikir gender. Kalau plan asal keluar makan bayar bahagi sama2, maka semua wajiblah bayar ikut bahagian masing2. Kalau dia cakap nak belanja, ucap terima kasih ada rezeki balas balik kebaikkan dia. Benda jadi darah daging, 1 sen pun akan dihisab.'",benda ni simple patut nak pikir gender kalau plan asal keluar makan bayar bahagi sama2 semua wajib bayar ikut bahagian masing2 kalau cakap nak belanja ucap terima kasih rezeki balas balik baik benda jadi darah daging sen hisab
2023-01-03 23:59:13,b'RT @detikinet: Puncak hujan meteor Quadrantid akan terjadi pada malam ini. Bagi kalian para pecinta astronomi bersiap-siap menikmati suguha\xe2\x80\xa6',puncak hujan meteor quadrantid jadi malam kalian cinta astronomi nikmat
2023-01-03 23:59:05,b'Brlawanan dgn hukum alam ye.. belajar bm ajar sains pj.. risau2',brlawanan hukum alam ye ajar bm ajar sains pj risau2
2023-01-03 23:56:39,b'KL - Sepang aku buat macam Shah Alam - Klang ya \xf0\x9f\x98\x82',kl sepang aku buat macam shah alam klang
2023-01-03 23:56:22,"b'lalu hal-hal bergerak dan  berproses, semoga dalam prosesnya kita selalu diberikan rasa percaya. terima kasih Tuhan semesta alam raya :)'",lalu gerak proses moga proses selalu beri rasa percaya terima kasih tuhan semesta alam raya
2023-01-03 23:56:21,"b'RT @ezra_putranto: Hello! Adult clinical psychologist here. Ikut nimbrung, ya. \n\nPTSD biasanya dikaitkan dengan veteran perang, namun, PTSD\xe2\x80\xa6'",adult clinical psychologist here ikut nimbrung biasa kait veteran perang
2023-01-03 23:56:03,b'RT @probornocyber: @twtshah_alam Sebagai prmpuan aku tak rasa dorang berkira.. tapi lebih kepada adil je. Pay what you eat.. \n\nIdok le samp\xe2\x80\xa6',prmpuan aku rasa dorang kira lebih adil je pay what you eat le
2023-01-03 23:55:51,"b'RT @TweetIslamik: Yang bernilai di alam sana hanya pahala yang dibawa atau yang dikirim buat mereka.\n.\nIngatlah, hari ini kita sebagai anak\xe2\x80\xa6'",nila alam sana pahala bawa kirim buat hari
2023-01-03 23:55:40,b'@Aku_Survivor Boleh sgt Nel.. now Chomb selalu ada di Shah Alam.. Jemput tengok dulu. https://t.co/XUOC9LybB7',sgt nel now chomb selalu shah alam jemput tengok dulu
2023-01-03 23:55:23,"b""RT @chairman_GLC: Gulati's Seksyen 7 Shah Alam bulan puasa tahun ni: https://t.co/wee2ZBeZXw""",seksyen shah alam bulan puasa tahun
2023-01-03 23:55:22,"b'RT @sofiaamera_: @twtshah_alam tak jugak sbb ada tweet laki nyirap sbb dia makan sikit tpi kena bayar sama rata, sbb katanya kawan makan sa\xe2\x80\xa6'",jugak tweet laki nyirap makan sikit tpi kena bayar sama rata kata kawan makan
2023-01-03 23:55:20,"b'@convomfs gw jg sama nder, baru aj gw udh panggilan alam di st manggarai\xf0\x9f\x98\x94\xe2\x98\x9d\xf0\x9f\x8f\xbb'",gw jg sama nder baru aj gw udh panggil alam st
2023-01-03 23:54:32,b'RT @danteana1405: @twtshah_alam Tak ada salahnya. Bayar makanan masing2 tu pun pelik ke? Buat camni barulah x keberatan semua org nk lepak.\xe2\x80\xa6',salah bayar makan masing2 tu pelik buat camni baru x berat semua org nk
2023-01-03 23:54:23,b'RT @republikaonline: Amien Rais sebut Partai Ummat akan perjuangkan sumber daya alam untuk bangsa sendiri. https://t.co/6CA4a3Bxrj',amien rais sebut partai ummat juang sumber daya alam bangsa sendiri
2023-01-03 23:54:04,"b'@convomfs aku juga ga akan lupa\npas ibuk berjuang melawan cancer di rs, sedangkan bpk malah ke hotel sama slengkihanya\npas ibuk tau, bliau lgsg koma\nminta doa buat ibuku, semoga bliau selalu bahagia di alam kuburnya\xe2\x9d\xa4\xef\xb8\x8f\ntepat 10tahun bliau meninggal bersama dengan calon adeku'",aku ga ibuk juang lawan cancer rs bpk malah hotel sama ibuk tau bliau lgsg doa buat ibu moga bliau selalu bahagia alam bliau tinggal sama calon adeku
2023-01-03 23:53:46,b'@mdazad73 @ciktudungmerah Shah Alam ni pun sama. Jln x penah jem pun jem',shah alam ni sama jln x penah jem jem
2023-01-03 23:53:33,"b'@worksfess Kenapa ya orang orang di Jakarta pada gak terima macet. Itu sudah hukum alam kalau tinggal di kota besar orang ny banyak kendaraan nya juga banyak, kalau gak mau macet tinggal di kampung plosok gak ada macet.'",orang orang jakarta terima macet hukum alam kalau tinggal kota besar orang ny banyak kendara nya banyak kalau mau macet tinggal kampung plosok macet
