,text,cleanTweet,emotion,Dominant_Topic,Perc_Contribution,Topic_Keywords
0,"b'RT @dr_chaku: Setiap tahun saya akan ulang. \n\nKita tidak perlu restoran atau kedai makan yang jual ""mega portion"". Kenapa?\n\nKerana cenderun\xe2\x80\xa6'",tahun ulang perlu restoran kedai makan jual mega portion,2,14,0.5329,"alam, malam, memang, paling, rindu, benar, seluruh, ni, makan, beda"
1,b'RT @KIMW0NPlL: @starfess Kesabaran youngk seluas alam semesta\n\nhttps://t.co/x4CobFZfJI',sabar youngk luas alam,2,9,0.3473,"alam, semesta, ada, fakta, wisata, dunia, orang, jadi, aku, cipta"
2,"b'RT @yippiekoo: \xe2\x80\x94 jikook few tweets au.\n\nCinta berbeda alam itu memang ada. Dan itu terjadi pada Alinea Hermoine, seorang dokter forensik. D\xe2\x80\xa6'",jikook few tweets beda alam memang jadi alinea hermoine orang dokter forensik,1,3,0.3536,"alam, apa, aku, mimpi, buat, kamu, hukum, jadi, sadar, orang"
3,"b'""Orang yang berilmu berada di kalangan orang bodoh.""\nMematikan hati nurani dan bergerak dalam kesesatan yang menyesatkan. \n\nDosa jariyah ?\nWallahu\'alam.\n\nNaudzubillahi min dzalik. \n\n** https://t.co/4tD25BHVQg'",orang beril ada kalang orang hati nurani gerak sesat sesat jariyah min dzalik,2,16,0.3205,"alam, siapa, bikin, beri, isi, tiba, masalah, api, kalau, pakai"
4,b'@txtdrstoryWA Alam barzah',alam barzah,0,2,0.168,"alam, ko, ibu, sangat, musim, pandang, ikan, cari, dapat, sedih"
5,"b'@twtshah_alam Benda ni simple, tak patut pun nak pikir gender. Kalau plan asal keluar makan bayar bahagi sama2, maka semua wajiblah bayar ikut bahagian masing2. Kalau dia cakap nak belanja, ucap terima kasih ada rezeki balas balik kebaikkan dia. Benda jadi darah daging, 1 sen pun akan dihisab.'",benda ni simple patut nak pikir gender kalau plan asal keluar makan bayar bahagi sama2 semua wajib bayar ikut bahagian masing2 kalau cakap nak belanja ucap terima kasih rezeki balas balik baik benda jadi darah daging sen hisab,2,7,0.7959,"nak, alam, ni, jadi, aku, semua, benda, bayar, kalau, isu"
6,b'RT @detikinet: Puncak hujan meteor Quadrantid akan terjadi pada malam ini. Bagi kalian para pecinta astronomi bersiap-siap menikmati suguha\xe2\x80\xa6',puncak hujan meteor quadrantid jadi malam kalian cinta astronomi nikmat,2,19,0.5392,"baka, assalam, nikmat, gaji, bulan, walaikum, kona, gemes, main, puncak"
7,b'Brlawanan dgn hukum alam ye.. belajar bm ajar sains pj.. risau2',brlawanan hukum alam ye ajar bm ajar sains pj risau2,2,11,0.2386,"alam, shah, tuhan, satu, banyak, bangun, in, masuk, jakel, bakar"
8,b'KL - Sepang aku buat macam Shah Alam - Klang ya \xf0\x9f\x98\x82',kl sepang aku buat macam shah alam klang,2,1,0.3318,"aku, alam, tu, makan, bayar, ni, lah, je, kira, rezeki"
9,"b'lalu hal-hal bergerak dan  berproses, semoga dalam prosesnya kita selalu diberikan rasa percaya. terima kasih Tuhan semesta alam raya :)'",lalu gerak proses moga proses selalu beri rasa percaya terima kasih tuhan semesta alam raya,2,8,0.3037,"alam, udah, gue, beda, ga, jadi, sama, cuma, sih, orang"
10,"b'RT @ezra_putranto: Hello! Adult clinical psychologist here. Ikut nimbrung, ya. \n\nPTSD biasanya dikaitkan dengan veteran perang, namun, PTSD\xe2\x80\xa6'",adult clinical psychologist here ikut nimbrung biasa kait veteran perang,2,15,0.3028,"alam, tahun, shah, tutup, dekat, kena, je, ni, biasa, kat"
11,b'RT @probornocyber: @twtshah_alam Sebagai prmpuan aku tak rasa dorang berkira.. tapi lebih kepada adil je. Pay what you eat.. \n\nIdok le samp\xe2\x80\xa6',prmpuan aku rasa dorang kira lebih adil je pay what you eat le,2,1,0.486,"aku, alam, tu, makan, bayar, ni, lah, je, kira, rezeki"
12,"b'RT @TweetIslamik: Yang bernilai di alam sana hanya pahala yang dibawa atau yang dikirim buat mereka.\n.\nIngatlah, hari ini kita sebagai anak\xe2\x80\xa6'",nila alam sana pahala bawa kirim buat hari,2,8,0.4342,"alam, udah, gue, beda, ga, jadi, sama, cuma, sih, orang"
13,b'@Aku_Survivor Boleh sgt Nel.. now Chomb selalu ada di Shah Alam.. Jemput tengok dulu. https://t.co/XUOC9LybB7',sgt nel now chomb selalu shah alam jemput tengok dulu,2,11,0.4727,"alam, shah, tuhan, satu, banyak, bangun, in, masuk, jakel, bakar"
14,"b""RT @chairman_GLC: Gulati's Seksyen 7 Shah Alam bulan puasa tahun ni: https://t.co/wee2ZBeZXw""",seksyen shah alam bulan puasa tahun,1,11,0.2566,"alam, shah, tuhan, satu, banyak, bangun, in, masuk, jakel, bakar"
