,modelLDA,num_topics,alpha,eta,coherence_score,perplexity
0,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.4,0.4765114948449837,202.01210448893954
1,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.4,0.4669657331415916,156.25398022321673
2,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.4,0.4572976079738796,156.2178427378812
3,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.4,0.4526874085390481,140.8110057304803
4,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.4,0.4526874085390481,140.8110057304803
5,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.4,0.4494907562769699,166.45047605052642
6,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.1,0.4385901262900814,176.2338767679998
7,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.1,0.4265775174821992,154.35482583667095
8,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.1,0.4240898390619991,164.42168160472986
9,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.1,0.4236706258965259,147.11253279095996
10,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,symmetric,0.4236706258965259,147.11253279095996
11,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,symmetric,0.4230549540507479,171.22853375805036
12,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,symmetric,0.422770140855945,171.48000849452194
13,"LdaMulticore<num_terms=2054, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,symmetric,0.41761271826252483,160.30066467192034
14,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.1,0.4129841676845089,144.62646750042794
15,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,symmetric,0.4129841676845089,144.62646750042794
16,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.1,0.4129841676845089,144.62646750042794
17,"LdaMulticore<num_terms=2054, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,symmetric,0.4129841676845089,144.62646750042794
