,datetime,text,cleanTweet,emotion
0,2023-01-02 23:59:57,"b'@Ratrichibi Semoga tahun ini lebih baik dari tahun sebelumnya. Target yang aku setting, bisa tercapai. Aamiin\n\nDan semoga kita semua diberikan kesehatan dan kecukupan rezeki, kebahagiaan dan segala urusan kita dipermudah di tahun ini dan tahun-tahun berikutnya. Aamiin \n\nDan semoga adik\xe2\x80\x94'",moga tahun lebih baik tahun belum target aku setting capai moga semua beri sehat cukup rezeki bahagia segala urus mudah tahun ikut aamiin moga,1
1,2023-01-02 23:59:52,"b'RT @blogdokter: CATAT BAIK BAIK, berikut kasus kasus yang TIDAK DITANGGUNG oleh BPJS Kesehatan alias pasien peserta BPJS Kesehatan BERUBAH\xe2\x80\xa6'",catat baik baik ikut kasus kasus tanggung bpjs sehat alias pasien serta bpjs sehat,2
2,2023-01-02 23:59:30,b'hey kamu mi_ChristyChiBi jaga kesehatan yah :D',hey kamu jaga sehat yah,2
3,2023-01-02 23:58:50,"b'RT @yowesajur: Ya Allah nek aku ora beruntung dalam hal percintaan, tolong beruntungkanlah aku ning hal keuangan, kesehatan, karier lan keb\xe2\x80\xa6'",allah nek aku ora untung cinta untung aku ning uang sehat karier lan,2
4,2023-01-02 23:58:32,"b'RT @AsariRiza: Assalamualaikum sahabat Twitter \xf0\x9f\xa4\x97.......\nSemoga kita semua selalu diberikan kesehatan aamiin \xf0\x9f\xa4\xb2\nTeman""yang belum sedekah subu\xe2\x80\xa6'",assalamualaikum sahabat twitter semua selalu beri sehat aamiin sedekah,1
5,2023-01-02 23:58:08,"b'RT @chusnuIch_: Pemerintah tdk pernah menomorduakan Sumbar, tapi balasan mereka luar biasa.\n\nKunjungan kerja Menteri BUMN Erick Thohir ke S\xe2\x80\xa6'",perintah pernah menomorduakan sumbar balas luar kerja menteri bumn erick thohir,2
6,2023-01-02 23:58:05,"b'@Nastarsyawalan @lustfullylxna @thedufresne Itu bkn sekedar main air lg sih tp berenang, selain tempat jd kotor (krn pasti mereka jalan2 pake baju basah), gw sih lebih worry sama kesehatan mereka yg asal berenang campur2 sama org lain dan bkn di kolam renang yg ada standar kebersihan/kesehatannya. Gmn kalo ada yg pipis \xf0\x9f\xa5\xb2'",dar main air lg sih tp renang tempat jd kotor jalan2 pake baju gw sih lebih worry sama sehat asal renang campur2 sama org kolam renang standar gmn kalo pipis,2
7,2023-01-02 23:58:04,"b'Begini Suasana malam di Pos Pengungsian Lapangan Cariu, Desa MangunKerta Kec.Cugenang pada Pukul 21.00 Wib, Selasa (2/01/2023). Semoga semua pengungsi diberikan kesehatan. Cianjur pulih, Cianjur Bangkit! https://t.co/A71C3luvLD'",begini suasana malam pos ungsi lapang cariu desa mangunkerta pukul wib selasa moga semua ungsi beri sehat cianjur pulih cianjur,2
8,2023-01-02 23:57:48,b'RT @cursedkidd: hy sayang pelukan erat yuk smpe kesehatan tulang kita bermasalah',hy sayang peluk erat yuk smpe sehat tulang masalah,2
9,2023-01-02 23:57:38,b'@sandiuno Sehat Sehat slalu y Pak... Tetap jaga kesehatan... Smangattt..!!',sehat sehat slalu y pak tetap jaga sehat,1
10,2023-01-02 23:57:35,b'DANUREJAN _ Patroli sambang dan dialogis di tempat Obyek vital berikan pesan Kamtibmas serta himbauan protokol kesehatan. https://t.co/yYhGQ0oKKz',danurejan patroli sambang dialogis tempat obyek vital ikan pesan kamtibmas himbauan protokol sehat,2
