,text,cleanTweet,emotion,Dominant_Topic,Perc_Contribution,Topic_Keywords
0,"b'@Ratrichibi Semoga tahun ini lebih baik dari tahun sebelumnya. Target yang aku setting, bisa tercapai. Aamiin\n\nDan semoga kita semua diberikan kesehatan dan kecukupan rezeki, kebahagiaan dan segala urusan kita dipermudah di tahun ini dan tahun-tahun berikutnya. Aamiin \n\nDan semoga adik\xe2\x80\x94'",moga tahun lebih baik tahun belum target aku setting capai moga semua beri sehat cukup rezeki bahagia segala urus mudah tahun ikut aamiin moga,1,3,0.964,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
1,"b'RT @blogdokter: CATAT BAIK BAIK, berikut kasus kasus yang TIDAK DITANGGUNG oleh BPJS Kesehatan alias pasien peserta BPJS Kesehatan BERUBAH\xe2\x80\xa6'",catat baik baik ikut kasus kasus tanggung bpjs sehat alias pasien serta bpjs sehat,2,8,0.94,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
2,b'hey kamu mi_ChristyChiBi jaga kesehatan yah :D',hey kamu jaga sehat yah,2,1,0.85,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
3,"b'RT @yowesajur: Ya Allah nek aku ora beruntung dalam hal percintaan, tolong beruntungkanlah aku ning hal keuangan, kesehatan, karier lan keb\xe2\x80\xa6'",allah nek aku ora untung cinta untung aku ning uang sehat karier lan,2,1,0.9357,"sehat, jaga, kamu, jangan, aku, selalu, lupa, yaa, happy, moga"
4,"b'RT @AsariRiza: Assalamualaikum sahabat Twitter \xf0\x9f\xa4\x97.......\nSemoga kita semua selalu diberikan kesehatan aamiin \xf0\x9f\xa4\xb2\nTeman""yang belum sedekah subu\xe2\x80\xa6'",assalamualaikum sahabat twitter semua selalu beri sehat aamiin sedekah,1,3,0.4875,"sehat, moga, beri, selalu, rezeki, lancar, bahagia, tahun, aamiin, semua"
5,"b'RT @chusnuIch_: Pemerintah tdk pernah menomorduakan Sumbar, tapi balasan mereka luar biasa.\n\nKunjungan kerja Menteri BUMN Erick Thohir ke S\xe2\x80\xa6'",perintah pernah menomorduakan sumbar balas luar kerja menteri bumn erick thohir,2,7,0.9182,"sehat, menteri, januari, batas, presiden, rapat, jadi, gunadi, budi, jakarta"
6,"b'@Nastarsyawalan @lustfullylxna @thedufresne Itu bkn sekedar main air lg sih tp berenang, selain tempat jd kotor (krn pasti mereka jalan2 pake baju basah), gw sih lebih worry sama kesehatan mereka yg asal berenang campur2 sama org lain dan bkn di kolam renang yg ada standar kebersihan/kesehatannya. Gmn kalo ada yg pipis \xf0\x9f\xa5\xb2'",dar main air lg sih tp renang tempat jd kotor jalan2 pake baju gw sih lebih worry sama sehat asal renang campur2 sama org kolam renang standar gmn kalo pipis,2,0,0.9571,"sehat, ga, bpjs, sakit, buat, sama, asuransi, kalo, tp, obat"
7,"b'Begini Suasana malam di Pos Pengungsian Lapangan Cariu, Desa MangunKerta Kec.Cugenang pada Pukul 21.00 Wib, Selasa (2/01/2023). Semoga semua pengungsi diberikan kesehatan. Cianjur pulih, Cianjur Bangkit! https://t.co/A71C3luvLD'",begini suasana malam pos ungsi lapang cariu desa mangunkerta pukul wib selasa moga semua ungsi beri sehat cianjur pulih cianjur,2,8,0.7057,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
8,b'RT @cursedkidd: hy sayang pelukan erat yuk smpe kesehatan tulang kita bermasalah',hy sayang peluk erat yuk smpe sehat tulang masalah,2,7,0.6737,"sehat, menteri, januari, batas, presiden, rapat, jadi, gunadi, budi, jakarta"
9,b'@sandiuno Sehat Sehat slalu y Pak... Tetap jaga kesehatan... Smangattt..!!',sehat sehat slalu y pak tetap jaga sehat,1,8,0.9,"sehat, jaga, jadi, aku, tetap, hari, selamat, malam, laku, anak"
