,modelLDA,num_topics,alpha,eta,coherence_score,perplexity
0,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.4,0.4638515818384506,104.67259891832006
1,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.4,0.4638515818384506,104.67259891832006
2,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.4,0.44041260513701347,119.01634059197022
3,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.1,0.435036762468188,111.94435223493744
4,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,symmetric,0.435036762468188,111.94435223493744
5,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.4,0.4316433337970599,119.71452839266705
6,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,symmetric,0.4315349285231006,112.17424697617967
7,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.1,0.42887600048120883,107.55020293284532
8,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,symmetric,0.42887600048120883,107.55020293284532
9,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.1,0.42887600048120883,107.55020293284532
10,"LdaMulticore<num_terms=1994, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,symmetric,0.42887600048120883,107.55020293284532
11,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.4,0.4220634760345641,111.82894922955767
12,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,symmetric,0.4151563269575688,117.29325957853233
13,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.1,0.40874408989629424,109.58279010089923
14,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.4,0.3995133766814975,146.73371312664844
15,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.1,0.3905691715489305,116.51073326513782
16,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.1,0.37841969005406534,127.1730609325369
17,"LdaMulticore<num_terms=1994, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,symmetric,0.36979053792717925,122.51578671982237
