,datetime,text,cleanTweet,emotion
0,2023-01-03 23:58:37,b'RT @JPFBASE: anime komedi terlucu menurut kalian apa? kalo menurut sender saiki kusuo \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2 ga kuat absurd banget mana temen temennya pada si\xe2\x80\xa6',anime komedi lucu kalian apa kalo sender saiki kusuo ga kuat absurd banget mana temen temennya,2
1,2023-01-03 23:58:30,b'RT @MamatAntiKorup: Awek insecure vs kerajaan insecure.\n\nHAHAH. Sehari tak buat lawak tak sah Menteri KOMEDI @fahmi_fadzil kita ni.\n\n#Keraj\xe2\x80\xa6',awek insecure vs raja hari buat lawak sah menteri komedi,2
2,2023-01-03 23:56:15,b'RT @adjisdoaibu: Yang bersangkutan udah gua info soal layanan-layanan konseling (ada di google juga) dan udah izin untuk share ini dengan m\xe2\x80\xa6',sangkut udah gua info soal konseling google udah izin share,1
3,2023-01-03 23:55:11,b'@Guru_PNS Meresahkan',resah,2
4,2023-01-03 23:54:33,b'Komedi hidup',komedi hidup,2
5,2023-01-03 23:54:08,b'Klo makan style kaya gini mlh bener... Ga kaya yang itu.... \n\nNgomel tp tetep unsur komedi dan suasana keakraban terhadap pembeli nomer 1.. https://t.co/w3k45bUMeB',klo makan style kaya gin mlh bener ga kaya tp tetep unsur komedi suasana akrab beli nomer,2
6,2023-01-03 23:53:25,b'puncak komedi sekali wkwk.',puncak komedi sekali wkwk,1
7,2023-01-03 23:52:02,"b'RT @SeputarMadrid: Starting lapis dua, main di Copa del Rey lawan tim divisi 4. Full komedi'",starting lapis main copa del rey lawan tim divisi full komedi,2
8,2023-01-03 23:51:45,b'@koushiest Menurutku sih bagus ya. Drama tvN gak pernah gagal. Penulisnya itu yang nulis drama Hotel de Luna dan banyak drama sukses lainnya. Konflik dramanya berat dan serius tapi nontonnya bikin nyaman karena dikemas dengan komedi juga. Pemainnya gak ada yang awkward actingnya.',turut sih bagus drama tvn pernah gagal tulis nulis drama hotel de luna banyak drama sukses lain konflik drama berat serius nontonnya bikin nyaman kemas komedi main awkward actingnya,2
9,2023-01-03 23:50:18,b'Aku sudah membaca manga ini berkali-kali! Kamu harus mengeceknya juga!\n \n#komedi #Indonesia #manhwa #komikislam\n\nhttps://t.co/NyK4464THW https://t.co/vc3nnmSmd0',aku baca manga kamu ecek,2
