,text,cleanTweet,emotion,Dominant_Topic,Perc_Contribution,Topic_Keywords
0,b'RT @JPFBASE: anime komedi terlucu menurut kalian apa? kalo menurut sender saiki kusuo \xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2\xf0\x9f\xa5\xb2 ga kuat absurd banget mana temen temennya pada si\xe2\x80\xa6',anime komedi lucu kalian apa kalo sender saiki kusuo ga kuat absurd banget mana temen temennya,2,10,0.5878,"komedi, banget, kalo, lucu, hari, lu, soal, si, up, bgt"
1,b'RT @MamatAntiKorup: Awek insecure vs kerajaan insecure.\n\nHAHAH. Sehari tak buat lawak tak sah Menteri KOMEDI @fahmi_fadzil kita ni.\n\n#Keraj\xe2\x80\xa6',awek insecure vs raja hari buat lawak sah menteri komedi,2,11,0.5148,"komedi, dapet, masa, nih, politik, bang, ahy, paling, film, lah"
2,b'RT @adjisdoaibu: Yang bersangkutan udah gua info soal layanan-layanan konseling (ada di google juga) dan udah izin untuk share ini dengan m\xe2\x80\xa6',sangkut udah gua info soal konseling google udah izin share,1,2,0.5759,"udah, aja, komedi, gua, gin, eh, tadi, selamat, cukup, aku"
3,b'@Guru_PNS Meresahkan',resah,2,0,0.05,"komedi, the, semua, anjir, baik, pacar, tani, w, buat, hiatus"
4,b'Komedi hidup',komedi hidup,2,18,0.2273,"komedi, puncak, hidup, awal, tahun, putar, siapa, tertawa, cuman, gw"
5,b'Klo makan style kaya gini mlh bener... Ga kaya yang itu.... \n\nNgomel tp tetep unsur komedi dan suasana keakraban terhadap pembeli nomer 1.. https://t.co/w3k45bUMeB',klo makan style kaya gin mlh bener ga kaya tp tetep unsur komedi suasana akrab beli nomer,2,14,0.505,"ga, komedi, kaya, ku, isi, gitu, tuh, wkwkwkwk, sih, kek"
6,b'puncak komedi sekali wkwk.',puncak komedi sekali wkwk,1,18,0.1775,"komedi, puncak, hidup, awal, tahun, putar, siapa, tertawa, cuman, gw"
7,"b'RT @SeputarMadrid: Starting lapis dua, main di Copa del Rey lawan tim divisi 4. Full komedi'",starting lapis main copa del rey lawan tim divisi full komedi,2,14,0.5883,"ga, komedi, kaya, ku, isi, gitu, tuh, wkwkwkwk, sih, kek"
8,b'@koushiest Menurutku sih bagus ya. Drama tvN gak pernah gagal. Penulisnya itu yang nulis drama Hotel de Luna dan banyak drama sukses lainnya. Konflik dramanya berat dan serius tapi nontonnya bikin nyaman karena dikemas dengan komedi juga. Pemainnya gak ada yang awkward actingnya.',turut sih bagus drama tvn pernah gagal tulis nulis drama hotel de luna banyak drama sukses lain konflik drama berat serius nontonnya bikin nyaman kemas komedi main awkward actingnya,2,3,0.5942,"komedi, drama, sama, tragedi, romance, cinta, satu, kisah, main, sekali"
9,b'Aku sudah membaca manga ini berkali-kali! Kamu harus mengeceknya juga!\n \n#komedi #Indonesia #manhwa #komikislam\n\nhttps://t.co/NyK4464THW https://t.co/vc3nnmSmd0',aku baca manga kamu ecek,2,12,0.3855,"gue, kamu, cerita, percaya, candu, baca, manga, ecek, pikir, au"
10,b'@nabiewru terlalu komedi',terlalu komedi,2,5,0.1412,"aku, selalu, manhwa, luar, banyak, ngakak, komedi, ni, terlalu, org"
11,"b'@Askrlfess pernah 1 tahun, tapi berujung ga jadi pas di puncak2 nya asmara tiba2 dia ketauan dah punya pacar yg dah jalan 1 bulan wkwk akhirnya aku cut off eh ga lama tu paling 1 bulanan jg setelahnya dia pacaran sm sahabat aku wakakak puncak komedi ni'",pernah tahun ujung ga jadi pas puncak2 nya asmara tiba2 tau dah punya pacar dah jalan bulan wkwk akhir aku cut off eh ga lama tu paling bulan jg telah pacar sm sahabat aku wakakak puncak komedi ni,2,14,0.5388,"ga, komedi, kaya, ku, isi, gitu, tuh, wkwkwkwk, sih, kek"
12,"b'Yang bersangkutan udah gua info soal layanan-layanan konseling (ada di google juga) dan udah izin untuk share ini dengan menjaga info pribadinya.\n\nSemoga komedi bisa menjadi penolong dalam hal apa pun, bagi siapa pun. \nudah ya kita gini aja udah cukup'",sangkut udah gua info soal konseling google udah izin share jaga info komedi jadi tolong apa siapa gin aja udah cukup,1,2,0.666,"udah, aja, komedi, gua, gin, eh, tadi, selamat, cukup, aku"
13,b'@pinkywhite01 Komedi yg bikin kesel \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',komedi bikin kesel,2,19,0.142,"komedi, sih, dah, bikin, sampe, kek, baru, deh, duit, sama"
14,b'@17O53s hidup ini penuh komedi ting',hidup penuh komedi ting,2,18,0.1853,"komedi, puncak, hidup, awal, tahun, putar, siapa, tertawa, cuman, gw"
15,b'@ayundareno AHY komedi politik masa kini #AHYpolitikusGagal #AHYAsalBicara #SBYMangkrakAHYAsbun',ahy komedi politik masa kini,1,11,0.3994,"komedi, dapet, masa, nih, politik, bang, ahy, paling, film, lah"
16,b'Komik yang luar biasa ini harus mendapat perhatian lebih!\n \n#komikindo #komedi #komikon #comic\n\nhttps://t.co/frJ4tMSI0A https://t.co/JmmAUQo8oa',komik luar biasa dapat perhati,2,7,0.4134,"biasa, dapat, komik, luar, perhati, bener, nder, orang, komedi, hahaha"
17,b'Drakor genre comedy memang beneran komedi.',drakor genre comedy memang beneran komedi,1,13,0.4377,"komedi, genre, emang, wkwkwk, kayak, nonton, sih, dong, horor, ketawa"
18,"b'RT @aubxbfess: bxb! mau au markhyuck , jaeyong , atau nomin yang komedi romantis gitu doong, yang ada memenya jugaa \xf0\x9f\x98\xbb'",mau au markhyuck jaeyong nomin komedi romantis gitu doong memenya jugaa,2,16,0.2296,"bgt, komedi, wkwk, tp, bukan, ada, romantis, liat, tuh, mau"
19,b'RT @RMalanjum: Patut gunakan mesej suruh awasi Covid dan jaga SOP dengan kemunculan dua varian baru.\n\nTapi dah Menteri KOMEDI memang bengap\xe2\x80\xa6',patut guna mesej suruh awas covid jaga sop muncul varian dah menteri komedi memang,2,8,0.6425,"komedi, nya, lebih, trs, sama, wkwkw, kerja, makin, langsung, apa"
20,"b'tambahan :\n\ncewenya gaboleh follback cowo, tp dianya follow duluan cewe2 HAHAAHAHAHAHAHAHAHAHAA PUNCAK KOMEDI\xf0\x9f\x8e\xa1'",tambah gaboleh follback cowo tp dia follow duluan cewe2 hahaahahahahahahahahaa puncak,2,6,0.1822,"jadi, apa, aku, bawah, sabar, gabung, tunggu, klik, taut, tayang"
21,b'Komik yang luar biasa ini harus mendapat perhatian lebih!\n \n#komedi #komiklucu #Komikus #indiecomics\n\nhttps://t.co/C5Z1Tcfnft https://t.co/k1paqG198A',komik luar biasa dapat perhati,2,7,0.4134,"biasa, dapat, komik, luar, perhati, bener, nder, orang, komedi, hahaha"
22,b'banyak wkwkwkkwkwkwkk komedi emang https://t.co/0q3I1AypK8',banyak wkwkwkkwkwkwkk komedi emang,2,13,0.1761,"komedi, genre, emang, wkwkwk, kayak, nonton, sih, dong, horor, ketawa"
23,b'@tsani___ @ijeajayakan @gewdgurl_ @ZimmerMadelaine @tanyarlfes puncak komedi asuu wkwkw',puncak komedi asuu wkwkw,2,18,0.1722,"komedi, puncak, hidup, awal, tahun, putar, siapa, tertawa, cuman, gw"
24,b'@junbin_hi Semoga shin seungho habis ini main Drama komedi lagi\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',moga shin seungho habis main drama komedi,2,10,0.2059,"komedi, banget, kalo, lucu, hari, lu, soal, si, up, bgt"
25,b'Manhwa ini luar biasa! Aku selalu ketagihan!\n \n#komikislam #manga #komedi #komikstrip\n\nhttps://t.co/0K7xcWiJdy https://t.co/r4aQT31CDU',manhwa luar aku selalu,1,5,0.3608,"aku, selalu, manhwa, luar, banyak, ngakak, komedi, ni, terlalu, org"
26,b'Aku tidak sabar menunggu apa yang terjadi selanjutnya! Klik tautan di bawah ini dan bergabunglah dengan penderitaanku!\n \n#komikislam #manga #komedi #komikstrip\n\nhttps://t.co/OkEzsYRR8g https://t.co/kxz9I4jqUR',aku sabar tunggu apa jadi klik taut bawah gabung,2,6,0.551,"jadi, apa, aku, bawah, sabar, gabung, tunggu, klik, taut, tayang"
27,"b'@ssskkrrrttttt Komedi bgt anj, baru kenal tau tau manggil by tautau minta duit, butuu finansial sekaligus pacar mah cari sugar daddy ajah neng lah'",komedi bgt anj baru kenal tau tau manggil by tautau minta duit butuu finansial sekaligus pacar mah cari sugar daddy ajah neng lah,2,2,0.6275,"udah, aja, komedi, gua, gin, eh, tadi, selamat, cukup, aku"
28,b'Komedi ya ama trajikomik  #AlBuZamm\xc4\xb1SenYasa',komedi ama trajikomik,1,19,0.1532,"komedi, sih, dah, bikin, sampe, kek, baru, deh, duit, sama"
29,b'sebenernya agak komedi tp wkwkw \xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e',sebenernya komedi tp wkwkw,2,8,0.1589,"komedi, nya, lebih, trs, sama, wkwkw, kerja, makin, langsung, apa"
