,modelLDA,num_topics,alpha,eta,coherence_score,perplexity
0,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,symmetric,0.4022605548923354,91.52288365026226
1,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,symmetric,0.387802852246092,85.99930678777997
2,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.1,0.38302720870586004,83.47565252434931
3,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.1,0.377452395693764,95.82182019844551
4,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.4,0.36547906880384773,88.57252094347332
5,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.1,0.3639719506167155,90.29610518751258
6,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.4,0.36171707706229766,96.57670008443796
7,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.4,0.36031730143309765,91.84964310109132
8,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.4,0.3598525126778597,117.4133283889174
9,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.1,0.3583505109835382,84.44680496604889
10,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,symmetric,0.3583505109835382,84.44680496604889
11,"LdaMulticore<num_terms=999, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,symmetric,0.35657156122939765,92.35068425922144
12,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.1,0.34376685114405553,79.53373664832203
13,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,symmetric,0.34376685114405553,79.53373664832203
14,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.1,0.34376685114405553,79.53373664832203
15,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,symmetric,0.34376685114405553,79.53373664832203
16,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.4,0.33485121799516115,80.49076179042606
17,"LdaMulticore<num_terms=999, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.4,0.33485121799516115,80.49076179042606
