datetime,text,cleanTweet
2023-02-27 23:56:05,b'@an_ti_ka_drun Perusak kebhinekaan nih akun..\nAnti Pancasila..!!!',usak kebhinekaan nih
2023-02-27 23:55:08,b'morning! \xf0\x9f\x92\x90 hi buat kamu yang cari joki trusted untuk matkul politik HAM hukum kewarganegaraan komunikasi pancasila essay demokrasi HI ppt skripsi novel ilmu sosial sejarah soshum cerpen makalah resume dllnya? bisa ke @autientic ya! &amp;&amp; ada 620+ testi disini \xf0\x9f\x8c\xb7\xf0\x9f\x92\x9e\xe2\x9c\xa8 #zonauang',hi buat kamu cari joki trusted matkul politik ham hukum kewarganegaraan komunikasi pancasila essay demokrasi hi ppt skripsi novel ilmu sosial sejarah soshum cerpen makalah resume dllnya testi sini
2023-02-27 23:54:20,b'@nusantara_one Kebodohan hakiki. Emang yang ngajarkan toleransi hanya pancasila doang.\nParah cara berfikirmu',bodoh hakiki emang ngajarkan toleransi pancasila cara berfikirmu
2023-02-27 23:49:34,"b'RT @MbahJim: Mungkin kalimat ""semua bisa diatur"" yang konon sakti dah mulai luntur ya Bu? \nNegara kaya SDA kok masih bergantung sama pajak,\xe2\x80\xa6'",mungkin kalimat semua atur konon sakti dah mulai luntur bu kaya sda kok gantung sama
2023-02-27 23:47:26,b'RT @opposite6892: Banser NU Ansor bajingan kabeh\nRusak semua waktunya mereka di kirim ke papua jangan teriak kita Indonesia kita pancasila\xe2\x80\xa6',banser nu ansor bajing semua waktu kirim papua jangan teriak indonesia
2023-02-27 23:47:17,b'AGAMA MENJADI MUSUH TERBESAR PANCASILA:Inilah Pemikiran yang A-history! Oleh: Prof Suteki @sutekov Pakar Hukum dan Masyarakat Jadi Penyeru Kebenaran .\xe2\x8f\xb1\xef\xb8\x8f\xf0\x9f\x92\xa1. #P7GM3 https://t.co/SU6OCWDznK',agama jadi musuh besar pikir prof suteki pakar hukum masyarakat jadi seru benar
2023-02-27 23:44:47,b'RT @Kimberley_20102: Apa tujuan kalian dukung capres? Untuk balas dendam? Untuk cari makan? Untuk mendewakan capresnya? Atau untuk negara d\xe2\x80\xa6',apa tuju kalian dukung capres balas dendam cari makan dewa capresnya negara
2023-02-27 23:44:44,b'RT @1ndonesiaku_: Pilpres 2024 bukanlah pertarungan agama tetapi pertarungan kelangsungan NKRI dan Ideologi Pancasila.\nHindari Politik Iden\xe2\x80\xa6',pilpres bukan tarung agama tarung langsung nkri ideologi politik
2023-02-27 23:44:33,b'RT @Srik4ndiMuslim2: @FreedomGugat Risma cuci2 mobil itu mungkin karena dia belum memahami instruksi bos Ekasila untuk obrak abrik jamaah p\xe2\x80\xa6',risma cuci2 mobil mungkin paham instruksi bos ekasila obrak abrik jamaah
2023-02-27 23:43:24,"b'RT @CH4__15R: Sekelas MUI Saja gak dihargai, dan jangan tertipu dengan pencitraan Bani Merah yg tiba-tiba menjadi kadrun mendadak.\nYudian W\xe2\x80\xa6'",kelas mui harga jangan tipu citra bani merah jadi kadrun
