,modelLDA,num_topics,alpha,eta,coherence_score,perplexity
0,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.4,0.4175536799213111,103.68457621981342
1,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.4,0.41570871283206995,116.2589217539163
2,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,symmetric,0.3964404590278076,107.2825788977205
3,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.1,0.3954820621699928,124.04109702703208
4,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.4,0.3945829870912875,114.50498159530846
5,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.4,0.39428353435291597,101.68688473543406
6,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.4,0.39428353435291597,101.68688473543406
7,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.1,0.39145872015434835,102.84706797507813
8,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,symmetric,0.39090338302782773,121.63807782132992
9,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.1,0.38782411917110804,110.38856362715457
10,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,symmetric,0.3856159574528773,116.15952144046354
11,"LdaMulticore<num_terms=1083, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.4,0.3787567404421659,141.27061163247836
12,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.1,0.3544028936346792,109.31695951153858
13,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,symmetric,0.3544028936346792,109.31695951153858
14,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.1,0.34732949579506583,103.88065056930078
15,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,symmetric,0.34732949579506583,103.88065056930078
16,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.1,0.34732949579506583,103.88065056930078
17,"LdaMulticore<num_terms=1083, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,symmetric,0.34732949579506583,103.88065056930078
