,datetime,text,cleanTweet,emotion
0,2023-01-02 22:54:38,b'RT @smstan_tuwir: Rame pada ngomongin sebelum konser SMTOWN ada seminar macam kuliah umum begini.\n\nTapi tau nggak sih kalo ada beberapa ana\xe2\x80\xa6',rame ngomongin konser smtown seminar macam kuliah umum tau sih kalo beberapa,2
1,2023-01-02 22:53:32,b'RT @lowwtus: @convomfs Replynya pada rude menurut gw. Gak semua org bisa dpt lingkungan/pendidikan agama yg baik+rinci dr kecil. Dgn lu nan\xe2\x80\xa6',replynya rude gw semua org dpt agama kecil lu,2
2,2023-01-02 22:53:15,b'RT @andrianaSiska2: Negara sekuler abai terhadap memenuhi kebutuhan setiap keluarga.Negara hnya fokus kepada bekerja dan mempersiapkan gene\xe2\x80\xa6',negara sekuler abai penuh butuh hnya fokus kerja siap,1
3,2023-01-02 22:52:14,b'RT @llalarisha_: @tanyarlfes Jujur sy sudah cukup capek mikirin diri sendiri jadi sy emg mikirnya gamau deket ama orang ya karna sy males m\xe2\x80\xa6',jujur sy cukup capek mikirin diri sendiri jadi sy emg mikirnya gamau deket ama orang karna sy males,2
4,2023-01-02 22:49:57,b'Pendidikan bukanlah persiapan untuk hidup sebab pendidikan yang sesungguhnya adalah kehidupan itu sendiri.',didik bukan siap hidup didik sungguh hidup sendiri,1
5,2023-01-02 22:49:30,b'departemen pendidikan dan kebudayaan adalah departemen pendidikan dan kebudayaan',departemen didik budaya departemen didik budaya,2
6,2023-01-02 22:49:14,"b'Jepang itu mengajarkan adab &amp; ahlak duluan di pendidikan formal, baru ilmu.\n\nIni sejalan dengan ajaran para ulama shoheh yang mendahulukan adab drpd ilmu.\n\nhttps://t.co/rt5FndMUGQ'",jepang ajar adab ahlak duluan didik formal baru jalan ajar ulama shoheh dahulu adab drpd,1
7,2023-01-02 22:47:10,"b'RT @Eunoiaas: @worksfess semangat, kalau fashionmu memang bukan di pendidikan mending cari kerja sesuai fashion aja, atau mau sabar sampai\xe2\x80\xa6'",semangat kalau fashionmu memang bukan didik mending cari kerja sesuai fashion aja mau sabar,1
8,2023-01-02 22:47:02,"b'gw sangat semangat bersekolah dan menempuh pendidikan agar menjadi warga Republik Indonsia yang berguna, bersatu, adil dan makmur.'",gw sangat semangat sekolah tempuh didik jadi warga republik indonsia guna satu adil makmur,2
9,2023-01-02 22:45:55,"b""RT @ArbiahLubis: Mau mendapatkan pahala dari para penghafal Qur'an ??\nYuk, kita support pendidikan mereka.\nSD: 200rb/org\nSMP: 250rb/org\nSMA\xe2\x80\xa6""",mau dapat pahala hafal support didik,1
10,2023-01-02 22:45:50,"b'@worksfess Ada benernya yg mamah sender bilang, di sekolahin di farmasi masa milih kerja di gacoan, gak relevan sama pendidikan. Kan bisa apotek, klinik, RS atau pabrik2 obat/kosmetik di cikarang kan banyak.\nGue aja mengubur mimpi gue buat kerja di cikarang karena jauh dr dom.'",benernya mamah sender bilang sekolahin farmasi masa milih kerja gaco relevan sama didik apotek klinik rs pabrik2 cikarang aja kubur mimpi gue buat kerja cikarang jauh dom,2
11,2023-01-02 22:45:39,b'Kata Kata Motivasi Tentang Pendidikan',kata kata motivasi didik,2
12,2023-01-02 22:44:59,"b'RT @ruangragu: @txtdaribandung Di bandung nih kebanyakan pengangguran dan kualitas pendidikan rendah. Makanya kaya gitu, energi berlebih di\xe2\x80\xa6'",bandung nih banyak anggur kualitas didik rendah makanya kaya gitu energi lebih,2
13,2023-01-02 22:42:02,"b'sama juga dengan sistem penggajian dirapel tiap 3 bulan, dahal bisa aja tuh duit bos emang disisihkan untuk bayar gajinya tiap bulan *kata om yg perna jadi kepsek skrg pindah di dinas pendidikan'",sama sistem gaji rapel tiap bulan dahal aja tuh duit bos emang sisih bayar gaji tiap bulan om perna jadi kepsek skrg pindah dinas didik,2
14,2023-01-02 22:42:01,"b""Mau mendapatkan pahala dari para penghafal Qur'an ??\nYuk, kita support pendidikan mereka.\nSD: 200rb/org\nSMP: 250rb/org\nSMA: 300rb/org\nMahasiswa: 350rb/org https://t.co/pwc03iE28J""",dapat pahala hafal support didik,0
15,2023-01-02 22:41:09,b'Pendidikan terbaik di dunia adalahmemperhatikan sang ahli saat merekabekerja.',didik baik dunia adalahmemperhatikan sang ahli merekabekerja,2
16,2023-01-02 22:41:02,"b'@korantempo Adanya perpu ini juga bikin manusia indonesia yang stlh lulus pendidikan ingin kerja terkendala dg aturan tersebut. Memangnya perpu ini utk yg udah kerja, ini juga buat mahasiswa/i yg telah lulus juga terkena. Kalau mahasiswa/i gk demo ya gblgk.'",ada perpu bikin manusia indonesia stlh lulus didik kerja kendala atur sebut memang perpu utk udah kerja buat lulus kena kalau demo gblgk,2
17,2023-01-02 22:39:36,"b'@UNYmfs dulu tuh ada yg sampai bisa konversi kkn-pk, jadi ya worth it bgt buat anak pendidikan, tapi skrg katanyan temenku yang daftar udah gak bisa gitu'",dulu tuh konversi jadi worth it bgt buat anak didik skrg katanyan temenku daftar udah gitu,2
18,2023-01-02 22:37:26,"b'Setelah makan, pendidikan merupakan kebutuhan utama rakyat. (Danton)'",makan didik rupa butuh utama rakyat,2
19,2023-01-02 22:37:00,b'ini lah bunda akibat mengenyam pendidikan yg ga sesuai passion\xf0\x9f\xab\xa0',lah bunda akibat kenyam didik ga sesuai,2
20,2023-01-02 22:36:30,"b'@strwbrrrykiss Haha sabar, tenang kuasai toh masih rangka pendidikan'",haha sabar tenang kuasa rangka didik,1
21,2023-01-02 22:36:25,"b'lulus kuliah tuh pusing milih pekerjaan, mau sesuai pendidikan atau sesuai passion\xf0\x9f\x99\x83'",lulus kuliah tuh pusing milih kerja mau sesuai didik sesuai,1
