,text,cleanTweet,emotion,Dominant_Topic,Perc_Contribution,Topic_Keywords
0,b'RT @smstan_tuwir: Rame pada ngomongin sebelum konser SMTOWN ada seminar macam kuliah umum begini.\n\nTapi tau nggak sih kalo ada beberapa ana\xe2\x80\xa6',rame ngomongin konser smtown seminar macam kuliah umum tau sih kalo beberapa,2,10,0.3715,"didik, indonesia, paling, sistem, tp, rakyat, banyak, pajak, baca, makan"
1,b'RT @lowwtus: @convomfs Replynya pada rude menurut gw. Gak semua org bisa dpt lingkungan/pendidikan agama yg baik+rinci dr kecil. Dgn lu nan\xe2\x80\xa6',replynya rude gw semua org dpt agama kecil lu,2,14,0.4112,"didik, ajar, agama, kurang, kerja, jadi, lowong, islam, kurikulum, wbp"
2,b'RT @andrianaSiska2: Negara sekuler abai terhadap memenuhi kebutuhan setiap keluarga.Negara hnya fokus kepada bekerja dan mempersiapkan gene\xe2\x80\xa6',negara sekuler abai penuh butuh hnya fokus kerja siap,1,17,0.4681,"didik, org, nya, satu, kalau, bahasa, bawah, negara, jadi, indonesia"
3,b'RT @llalarisha_: @tanyarlfes Jujur sy sudah cukup capek mikirin diri sendiri jadi sy emg mikirnya gamau deket ama orang ya karna sy males m\xe2\x80\xa6',jujur sy cukup capek mikirin diri sendiri jadi sy emg mikirnya gamau deket ama orang karna sy males,2,2,0.6982,"didik, orang, sukses, gue, ajar, apa, karir, tahun, kalo, bukan"
4,b'Pendidikan bukanlah persiapan untuk hidup sebab pendidikan yang sesungguhnya adalah kehidupan itu sendiri.',didik bukan siap hidup didik sungguh hidup sendiri,1,6,0.4953,"didik, hidup, siap, bukan, depan, m, masa, milik, sendiri, uk"
5,b'departemen pendidikan dan kebudayaan adalah departemen pendidikan dan kebudayaan',departemen didik budaya departemen didik budaya,2,19,0.4297,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
6,"b'Jepang itu mengajarkan adab &amp; ahlak duluan di pendidikan formal, baru ilmu.\n\nIni sejalan dengan ajaran para ulama shoheh yang mendahulukan adab drpd ilmu.\n\nhttps://t.co/rt5FndMUGQ'",jepang ajar adab ahlak duluan didik formal baru jalan ajar ulama shoheh dahulu adab drpd,1,17,0.6114,"didik, org, nya, satu, kalau, bahasa, bawah, negara, jadi, indonesia"
7,"b'RT @Eunoiaas: @worksfess semangat, kalau fashionmu memang bukan di pendidikan mending cari kerja sesuai fashion aja, atau mau sabar sampai\xe2\x80\xa6'",semangat kalau fashionmu memang bukan didik mending cari kerja sesuai fashion aja mau sabar,1,5,0.6316,"didik, ga, mau, aku, kerja, jadi, lulus, kalau, orang, aja"
8,"b'gw sangat semangat bersekolah dan menempuh pendidikan agar menjadi warga Republik Indonsia yang berguna, bersatu, adil dan makmur.'",gw sangat semangat sekolah tempuh didik jadi warga republik indonsia guna satu adil makmur,2,17,0.5983,"didik, org, nya, satu, kalau, bahasa, bawah, negara, jadi, indonesia"
9,"b""RT @ArbiahLubis: Mau mendapatkan pahala dari para penghafal Qur'an ??\nYuk, kita support pendidikan mereka.\nSD: 200rb/org\nSMP: 250rb/org\nSMA\xe2\x80\xa6""",mau dapat pahala hafal support didik,1,7,0.3708,"didik, anak, punya, tahun, banyak, jadi, keluarga, buah, lebih, orang"
10,"b'@worksfess Ada benernya yg mamah sender bilang, di sekolahin di farmasi masa milih kerja di gacoan, gak relevan sama pendidikan. Kan bisa apotek, klinik, RS atau pabrik2 obat/kosmetik di cikarang kan banyak.\nGue aja mengubur mimpi gue buat kerja di cikarang karena jauh dr dom.'",benernya mamah sender bilang sekolahin farmasi masa milih kerja gaco relevan sama didik apotek klinik rs pabrik2 cikarang aja kubur mimpi gue buat kerja cikarang jauh dom,2,8,0.7438,"didik, dunia, guru, jadi, seksual, keras, pak, sama, kasus, hingga"
11,b'Kata Kata Motivasi Tentang Pendidikan',kata kata motivasi didik,2,19,0.3441,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
12,"b'RT @ruangragu: @txtdaribandung Di bandung nih kebanyakan pengangguran dan kualitas pendidikan rendah. Makanya kaya gitu, energi berlebih di\xe2\x80\xa6'",bandung nih banyak anggur kualitas didik rendah makanya kaya gitu energi lebih,2,10,0.5299,"didik, indonesia, paling, sistem, tp, rakyat, banyak, pajak, baca, makan"
13,"b'sama juga dengan sistem penggajian dirapel tiap 3 bulan, dahal bisa aja tuh duit bos emang disisihkan untuk bayar gajinya tiap bulan *kata om yg perna jadi kepsek skrg pindah di dinas pendidikan'",sama sistem gaji rapel tiap bulan dahal aja tuh duit bos emang sisih bayar gaji tiap bulan om perna jadi kepsek skrg pindah dinas didik,2,3,0.7358,"didik, guru, jurus, aku, jadi, sih, kuliah, kerja, apa, kalau"
14,"b""Mau mendapatkan pahala dari para penghafal Qur'an ??\nYuk, kita support pendidikan mereka.\nSD: 200rb/org\nSMP: 250rb/org\nSMA: 300rb/org\nMahasiswa: 350rb/org https://t.co/pwc03iE28J""",dapat pahala hafal support didik,0,7,0.3785,"didik, anak, punya, tahun, banyak, jadi, keluarga, buah, lebih, orang"
15,b'Pendidikan terbaik di dunia adalahmemperhatikan sang ahli saat merekabekerja.',didik baik dunia adalahmemperhatikan sang ahli merekabekerja,2,11,0.4083,"didik, sekolah, pilih, bayar, kuliah, alam, jalan, menteri, sebut, nya"
16,"b'@korantempo Adanya perpu ini juga bikin manusia indonesia yang stlh lulus pendidikan ingin kerja terkendala dg aturan tersebut. Memangnya perpu ini utk yg udah kerja, ini juga buat mahasiswa/i yg telah lulus juga terkena. Kalau mahasiswa/i gk demo ya gblgk.'",ada perpu bikin manusia indonesia stlh lulus didik kerja kendala atur sebut memang perpu utk udah kerja buat lulus kena kalau demo gblgk,2,5,0.6803,"didik, ga, mau, aku, kerja, jadi, lulus, kalau, orang, aja"
17,"b'@UNYmfs dulu tuh ada yg sampai bisa konversi kkn-pk, jadi ya worth it bgt buat anak pendidikan, tapi skrg katanyan temenku yang daftar udah gak bisa gitu'",dulu tuh konversi jadi worth it bgt buat anak didik skrg katanyan temenku daftar udah gitu,2,12,0.6493,"didik, buat, udah, jadi, orang, tuh, bukan, hidup, tua, posisi"
18,"b'Setelah makan, pendidikan merupakan kebutuhan utama rakyat. (Danton)'",makan didik rupa butuh utama rakyat,2,10,0.4163,"didik, indonesia, paling, sistem, tp, rakyat, banyak, pajak, baca, makan"
19,b'ini lah bunda akibat mengenyam pendidikan yg ga sesuai passion\xf0\x9f\xab\xa0',lah bunda akibat kenyam didik ga sesuai,2,9,0.449,"didik, masjid, anak, ga, buat, biar, umat, mana, tingkat, guru"
20,"b'@strwbrrrykiss Haha sabar, tenang kuasai toh masih rangka pendidikan'",haha sabar tenang kuasa rangka didik,1,13,0.3563,"didik, aku, buat, kalo, satu, aja, selalu, banget, salah, bukan"
21,"b'lulus kuliah tuh pusing milih pekerjaan, mau sesuai pendidikan atau sesuai passion\xf0\x9f\x99\x83'",lulus kuliah tuh pusing milih kerja mau sesuai didik sesuai,1,5,0.5472,"didik, ga, mau, aku, kerja, jadi, lulus, kalau, orang, aja"
22,"b'@reyward002 @AREAJULID biaya idup indo emg g segeda negara lain but for me most of our people cant even afford many things- n all of them is pricy, so whats the difference ?? negara lain boleh umr sama kebutuhan tinggi tapi pendidikan, fasilitas, jasa dan barang sesuai dengan harga yang diminta, cmiiw'",biaya idup indo emg g segeda negara but for me most of our people cant even afford many n all of them is pricy whats the difference negara umr sama butuh tinggi didik fasilitas jasa barang sesuai harga minta cmiiw,2,9,0.8314,"didik, masjid, anak, ga, buat, biar, umat, mana, tingkat, guru"
23,"b'@tanyakanrl Kalo pendidikan better Bandung, kalo wisata ya Jogja'",kalo didik better bandung kalo wisata jogja,2,2,0.3733,"didik, orang, sukses, gue, ajar, apa, karir, tahun, kalo, bukan"
24,b'@worksfess Pendidikan emang suram.....Bank dan lainnya masih nerima tiap tahun\nSemangat ya \xf0\x9f\x91\x8a',didik emang lain nerima tiap,2,3,0.2948,"didik, guru, jurus, aku, jadi, sih, kuliah, kerja, apa, kalau"
25,"b'@sioverthibking @Fikfinicky990 @GeenGeluk @worksfess @ororocimarugtw Harus ikutan pendidikan profesi guru, yg mana sistemnya ini dipanggil. Jd selama belum terpanggil tidak dapat'",ikut didik profesi guru mana sistem panggil jd lama panggil,1,3,0.367,"didik, guru, jurus, aku, jadi, sih, kuliah, kerja, apa, kalau"
26,"b'@yulia_antasari @txtqoutesalam Kalo nyerah karena ekonomi dan pendidikan salah gk sih? Takut aja ntar kedepannya gk bisa d andalkan guanya,.\n\nEhh, bahas apa sihh? Orang atau benda nihh?'",kalo nyerah ekonomi didik salah sih takut aja ntar depan d andal bahas apa sihh orang benda nihh,1,1,0.4851,"didik, sekolah, apa, dana, publik, orang, geografi, fasilitas, transportasi, bemp"
27,"b'RT @medecinhafez: Selamat Pagi kepada semua pengundi PAS, itulah kalian..\nTak nak dengar pesanan YB DAP Kota Melaka dan ayah kpd timbalan m\xe2\x80\xa6'",selamat pagi semua undi pas nak dengar pesan yb dap kota melaka ayah kpd timbal,2,0,0.6531,"didik, bangun, dinas, ingat, jadi, menteri, informasi, semua, mahasiswa, janji"
28,"b'@undipmenfess Lihat semua --&gt; Pendidikan --&gt; biaya pendidikan --&gt; (Perguruan tinggi, undip, spp, NIM) --&gt; cek tagihan\nJangan lupa pake promo cashbacknyaa'",lihat semua didik biaya didik tinggi undip spp cek lupa pake promo cashbacknyaa,2,13,0.5907,"didik, aku, buat, kalo, satu, aja, selalu, banget, salah, bukan"
29,b'Pendidikan bukan persiapan unt uk hidup TourismUGM2013',didik bukan siap unt uk hidup tourismugm2013,1,6,0.4779,"didik, hidup, siap, bukan, depan, m, masa, milik, sendiri, uk"
30,b'@UNYmfs Terlepas dari huru haranya kalau buat anak pendidikan worth it bangeettt soalnya teman teman saya yg ikut KM udah pada sidang \xf0\x9f\x99\x82\xf0\x9f\x99\x82',lepas huru hara kalau buat anak didik worth it bangeett soal teman teman ikut km udah sidang,2,9,0.6551,"didik, masjid, anak, ga, buat, biar, umat, mana, tingkat, guru"
31,"b'@BudianaPangestu @fullmoonfolks Ga bakal jatuh, bang \xf0\x9f\xa4\xa3 selama masih banyak orang miskin yang sampe ga dapet pendidikan layak.'",ga bakal jatuh bang lama banyak orang miskin sampe ga dapet didik layak,2,7,0.5037,"didik, anak, punya, tahun, banyak, jadi, keluarga, buah, lebih, orang"
32,"b'RT @ainunnajib: @AlphaARachman kalau betul ini IQ, yang biasanya bawaan, mustinya ga ada hubungannya dengan pendidikan tapi lebih ke gizi d\xe2\x80\xa6'",kalau betul iq biasa bawa mustinya ga hubung didik lebih gizi,2,9,0.5573,"didik, masjid, anak, ga, buat, biar, umat, mana, tingkat, guru"
33,b'Pendaftaran PSPP Angkatan Juli 2019 - Pendidikan Pramugari - https://t.co/xVGUOIHOps #PSPPyogyakarta',daftar pspp angkat juli didik pramugari,2,19,0.4321,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
34,"b'RT @JPenerangan: Menteri Pendidikan, YB Fadhlina Sidek berkata, langkah itu bertujuan memastikan hak setiap anak bangsa memperoleh kesaksam\xe2\x80\xa6'",menteri didik yb fadhlina sidek kata langkah tuju pasti hak anak bangsa oleh,2,19,0.6279,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
35,b'\xe2\x80\x9cAku mau kuliah Fikom atau HI..\xe2\x80\x9d ya bole silakan mau Pendidikan Bahasa Sunda atau Sastra Rusia juga mama dukung-dukung ajaaaa \xf0\x9f\xab\xb0\xf0\x9f\x8f\xbb',mau kuliah fikom bole sila mau didik bahasa sunda sastra rusia mama ajaa,2,9,0.4339,"didik, masjid, anak, ga, buat, biar, umat, mana, tingkat, guru"
36,b'dari dulu pengen buat project sosial yang concern dalam hal \xe2\x80\x9cpendidikan &amp; lingkungan\xe2\x80\x9d. tapi sampe saat ini belum teralisasikan. \n\nsemoga 2023 bisa ya hhehe\nyuk yanh mau collaborasi dm \xf0\x9f\x98\x82',dulu ken buat project sosial concern sampe teralisasikan yanh mau collaborasi dm,2,13,0.5853,"didik, aku, buat, kalo, satu, aja, selalu, banget, salah, bukan"
37,"b'@arigatoubaby @collegemenfess Mjb kak, kalo kamu dari prodi pendidikan dan smt 4 ke atas, aku saranin ikut KM. Tapi kalo masih smt awal ikut PMM juga bagus buat nambah pengalaman sama relasi. Semua ada +- nya, tergantung minat kakak pen join apa'",mjb kak kalo kamu prodi didik smt atas aku saranin ikut km kalo smt awal ikut pmm bagus buat nambah alam sama relasi semua nya gantung minat kakak pen join apa,2,4,0.6169,"didik, penting, minimal, kerja, sama, kamu, lebih, ga, nder, lowong"
38,"b'""Tidak ada pemberian seorang ayah untuk anaknya yang lebih utama dari pada (pendidikan) tata krama yang baik."" (HR. At-Tirmidzi)'",beri orang ayah anak lebih utama tata krama baik,2,19,0.3818,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
39,b'Berikut ini blogger gunungkidul berikan beberapa kumpulan kata-kata mutiara tentang dunia pendidikan yang semoga dapat menambah minat belajar bagi kalian yang masih harus menyelesaikan pendidikan disekolah.',ikut blogger gunungkidul ikan beberapa kumpul mutiara dunia didik moga tambah minat ajar kalian selesai didik seko,2,19,0.6659,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
40,"b'RT @AlphaARachman: Rata2 IQ org Indonesia 78,49, no 10 dari 11 negara ASEAN. Di atas kita Laos 80,99 &amp; di bawah kita Timor Leste 78,49. Sin\xe2\x80\xa6'",rata2 iq org indonesia no negara asean atas laos bawah timor leste,2,17,0.6088,"didik, org, nya, satu, kalau, bahasa, bawah, negara, jadi, indonesia"
41,"b'RT @weishenvess: weishenv! lagi nangis mikirin masalah pendidikan sender, ovt karna udh kelas 12 takut gaada univ yg nerima sender, ngeliat\xe2\x80\xa6'",nang mikirin masalah didik sender ovt karna udh kelas takut gaada univ nerima sender,2,3,0.6371,"didik, guru, jurus, aku, jadi, sih, kuliah, kerja, apa, kalau"
42,"b""@collegemenfess Mau kamu tulis dimana dulu dan pakai standard negara mana? Karena hampir semuanya benar, soalnya tiap negara ada sistem pendidikan tinggi dan standard penulisannya sendiri, tapi umunnya kamu bisa penulisan ini:\n\nBachelor's degree in Psychology.""",b mau kamu tulis dulu pakai standard negara mana hampir semua benar soal tiap negara sistem didik tinggi standard tulis sendiri umun kamu tulis degree in psychology,2,11,0.6994,"didik, sekolah, pilih, bayar, kuliah, alam, jalan, menteri, sebut, nya"
43,b'@willemsenpraj @FWBESS Pendidikan',didik,1,19,0.0621,"didik, baik, kata, anak, jadi, banyak, lebih, hidup, beri, orang"
44,"b'""Pendidikan adalah tiket ke masa depan. Hari esok dimiliki oleh orang-orang yang mempersiapkan dirinya sejak hari ini"" - Malcolm X'",didik tiket masa depan hari esok milik siap diri sejak hari malcolm x,2,6,0.6195,"didik, hidup, siap, bukan, depan, m, masa, milik, sendiri, uk"
45,"b""RT @alpenojalapeno: @collegemenfess kemarin sempet baca sekelumit kalimat sederhana tp maknanya ngena 'kualitas pendidikan dan moral anakmu\xe2\x80\xa6""",kemarin sempet baca kelumit kalimat sederhana tp makna ngena kualitas didik moral,2,4,0.4772,"didik, penting, minimal, kerja, sama, kamu, lebih, ga, nder, lowong"
46,"b'Hasil dari kurikulum pendidikan yang terlalu sering berorientasi ultra-nasionalism, bukan berorientasi pada keragaman dan kemanusiaan. https://t.co/lc6dhNvZ6J'",hasil kurikulum didik terlalu sering orientasi bukan orientasi ragam manusia,2,8,0.3467,"didik, dunia, guru, jadi, seksual, keras, pak, sama, kasus, hingga"
47,"b'Pendidikan bukanlah persiapan untuk hidup sebab pendidikan yang sesungguhnya adalah kehidupan itu sendiri.""'",didik bukan siap hidup didik sungguh hidup sendiri,1,6,0.4954,"didik, hidup, siap, bukan, depan, m, masa, milik, sendiri, uk"
