,modelLDA,num_topics,alpha,eta,coherence_score,perplexity
0,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.4,0.38092460980244125,218.14528127678392
1,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.4,0.36785073913588334,170.9670599319992
2,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.1,0.36642486408002506,177.5603305715005
3,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,symmetric,0.36417826437506073,171.42749182002265
4,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.4,0.3614505919147527,182.81378766515718
5,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.1,0.3564422986127803,163.95048821014248
6,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,symmetric,0.3564422986127803,163.95048821014248
7,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.4,0.3557447942845921,158.55025691482462
8,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.4,0.3502825332642692,158.32877458950608
9,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.4,0.3502825332642692,158.32877458950608
10,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,symmetric,0.34544080884692846,128.29912791733426
11,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.1,0.3449752574388577,143.73676842319063
12,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,symmetric,0.3449752574388577,143.73676842319063
13,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.1,0.3449752574388577,143.73676842319063
14,"LdaMulticore<num_terms=4320, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,symmetric,0.3449752574388577,143.73676842319063
15,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.1,0.3413273557592915,141.92027951185008
16,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.1,0.34107765383710203,131.56174607894144
17,"LdaMulticore<num_terms=4320, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,symmetric,0.32227283830727055,138.31166108718776
