,modelLDA,num_topics,alpha,eta,coherence_score,perplexity
0,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,symmetric,0.5131297053615794,203.0607666675898
1,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.1,0.4998215797183132,207.38705355517254
2,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,symmetric,0.4977311732984585,207.41746551685253
3,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.1,0.49591428930264636,207.48304363880413
4,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,0.1,0.4,0.4952192777873238,213.14760967619273
5,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,symmetric,0.4,0.4915703529980271,213.2920758217698
6,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.4,0.4808142449552661,222.70003595008632
7,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,symmetric,0.4727625221262823,209.7970622969234
8,"LdaMulticore<num_terms=13566, num_topics=10, decay=0.5, chunksize=5000>",10,0.4,0.1,0.47253867667568317,209.77799434523837
9,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,symmetric,0.4681998131444217,216.18534949410457
10,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.4,0.46655608779770663,230.88638456029628
11,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,symmetric,0.1,0.4612216732922815,221.65018019267245
12,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.1,0.4600831279181202,224.3865354148853
13,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,0.4,0.4560714297385952,240.79096813755012
14,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,0.1,symmetric,0.4535797049429145,218.82954553427294
15,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.4,0.4271618233650864,267.9908681831802
16,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,symmetric,0.4185194816142288,221.94100404792638
17,"LdaMulticore<num_terms=13566, num_topics=20, decay=0.5, chunksize=5000>",20,0.4,0.1,0.41815461660543296,230.1709274676896
