emotion,text,cleanTweet
emotion,text,text
positive,@PrincessSuperC Hai Cici tersayang! Cuma mau memberitaukan kalau saya cinta kamu! OH! Dan akan berkunjung secepatnya? Fantasi berkendari 5 Mei!!!!,hai cici cuma mau memberitaukan kalau cinta kunjung cepat fantasi berkendari
positive,@Msdebramaye Saya mendengar tentang kontes itu! Selamat teman!!,dengar kontes selamat
positive,UNC!!! Pemenang NCAA!! Franklin St.: I ADA DISANA!! SANGAT SERU!!!!!! Ini adalah yang terbaik...yang pernah ada http://tinyurl.com/49955t3,menang franklin i sangat pernah
positive,@DivHumas_Polri: Hoax dan Ujaran Kebencian dapat mengancam persatuan \n\nLaporkan dan Janban Ikut Menyebarkan\n\n#PolriPromoter #PolriHumani\xe2\x80\xa6',hoax ujar benci ancam satu janban ikut
positive,@DivHumas_Polri: Polri : Reuni 212 Berjalan Kondusif\n\n#PolriPromoter #PolriHumanis @PolriMultimedia https://t.co/dxWUJk96g5,polri reuni jalan
positive,"Ayo pak @BareskrimPolri @CCICPolri @DivHumas_Polri @KejaksaanRI segera ditindak, jangan sampe nanti di katakan B***I https://t.co/pX7ZMiHZWC",ayo pak segera tindak jangan sampe kata
positive,"RT @fahiraidris: Mantap Pak Wakapolsek Minahasa Utara, Kauditan Ipda L. Hadi Purwanto. Semangat kepolisian menyelamatkan anak bangsa dari b\xe2\x80\xa6",rt mantap pak wakapolsek minahasa utara tan ipda l had purwanto semangat polisi selamat anak bangsa
positive,@DivHumas_Polri: Hoax dan Ujaran Kebencian dapat mengancam persatuan \n\nLaporkan dan Janban Ikut Menyebarkan\n\n#PolriPromoter #PolriHumani\xe2\x80\xa6,hoax ujar benci ancam satu janban ikut
positive,"@DivHumas_Polri @PolriMultimedia Pa kapolri benar, sebab pa kapolri ngitungnya pas ba'da ashar jm 16..",pa kapolri benar pa kapolri ngitungnya pas ashar jm
positive,"@muannas_alaidid @GunRomli @DivHumas_Polri @psi_id @AntoniRaja Lanjutkan saja pak, biar yg beginian jadi efek jera.masa seenaknya minta maap",lanjut pak biar begini jadi efek enak minta maap
positive,"@korantempo Ayuk pak, pakai helm. @TMCPoldaMetro @NTMCLantasPolri @DivHumas_Polri #DKIJakarta #jaktim #SafetyFirst https://t.co/d2OEysSf7r",ayuk pak pakai helm
positive,@lembagaPI: [Siaran Pers] HOAX! Tidak Benar Pati Polri Dukung Salah Satu Paslon Pilpres 2019 via @pemilihLPI https://t.co/W0rmtx83pS cc\xe2\x80\xa6,benar pati polri dukung salah satu paslon pilpres via
positive,"Kapolres Kediri kota menghimbau agar selalu menjaga kerukunan, jangan mudah terprovokasi &amp; hindari menyebarkan HOAX\xe2\x80\xa6 https://t.co/GuOxo36mTI",kapolres diri kota menghimbau selalu jaga rukun jangan mudah provokasi hindar sebar
